"","target_id","gene_id","qvalue","FC_log4"
"5","ENST00000435127.1","AC002480.1",5.25157967499579e-06,1.60848818674605
"2","ENST00000379818.4","MT1M",9.49773849668469e-06,1.05667106809607
"1","ENST00000330029.6","UQCR10",2.57969118850423e-05,1.88897506551176
"6","ENST00000498135.5","TMEM50A",2.57969118850423e-05,1.13841809021857
"4","ENST00000433108.1","MIR205HG",3.08085457105962e-05,1.86112634468556
"7","ENST00000561516.5","JPT2",6.17096817915034e-05,1.71423906757004
"3","ENST00000413077.1","ZNF232-AS1",8.69483629374654e-05,1.19113104110667
"8","ENST00000638125.1","RGS9",8.69531892144902e-05,1.20914940452316
"9","MSTRG.24041.1",NA,9.65067655695748e-05,1.35423405749139
