"","target_id","gene_id","qvalue","FC_log2"
"4","ENST00000427140.5","APCDD1L-DT",1.81584169457984e-07,-4.87422356966785
"8","ENST00000544008.1","MYEOV",1.04140597157964e-05,-5.2183635567622
"7","ENST00000515614.3","LINC00942",1.85859063829145e-05,-5.17347942196523
"1","ENST00000292169.6","S100A1",1.97772343643662e-05,-3.32485876543243
"6","ENST00000462917.1","EIF1",2.0927419676564e-05,-1.22645103516183
"5","ENST00000433108.1","MIR205HG",3.08085457105962e-05,-1.23899870810106
"10","MSTRG.19329.5",NA,4.35399337856805e-05,-2.24193163960904
"2","ENST00000305943.8",NA,7.51007753196216e-05,-1.05356188067189
"3","ENST00000413077.1","ZNF232-AS1",8.69483629374654e-05,-3.88890804326695
"9","ENST00000638125.1","RGS9",8.69531892144902e-05,-1.03199062577305
